Tags,Sub Tags,True or not?,paper link,data_source,text,text_len
Conspiracy,Political,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,Central Intelligence Agency was responsible for the assassination of President John F. Kennedy.,94
Conspiracy,Political,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,the 1996 crash of TWA flight 800 was caused by a U.S. military missile.,70
Conspiracy,Political,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,plane crash that killed Democrat Paul Wellstone was engineered by Republican politicians.,88
Conspiracy,Political,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,"Martin Luther King, Jr., was killed by federal agents.",53
Conspiracy,Political,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,the Trilateral Commission is responsible for important movements of the international economy.,93
Conspiracy,"Environment, Science",FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,global warming is a deliberate fraud.,36
Conspiracy,"Medicine, Science",FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,doctors deliberately manufactured the AIDS virus as the product of a biowarfare program targeting gay people.,108
Fact,Political,TRUE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,"The Watergate hotel room used by Democratic National Committee was bugged by Republican officials, operating at the behest of the White House.",141
Fact,"Political, Science",TRUE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,"In the 1950s, the Central Intelligence Agency administered LSD and related drugs under Project MKULTRA, in an effort to investigate the possibility of “mind control”.",165
Fact,Political,TRUE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,"Operation Northwoods, a rumored plan by the Department of Defense to simulate acts of terrorism and to blame them on Cuba, really was proposed by high-level officials (though the plan never went into effect).",207
Fiction,Characters,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,"a secret group of elves, working in a remote location under the leadership of the mysterious “Santa Claus,” make and distribute presents on Christmas Eve.",154
Fiction,Characters,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,Easter Bunny is real.,20
Fiction,Characters,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,Toot faity is real and leaves pennies in exchange of tooth when the tooth are kept under the pillow at night.,108
Controversy,Science,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,prolonged exposure to sunlight is actually healthy.,50
Conspiracy,"Environment, Science",FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,climate change is neither occurring nor likely to occur.,55
Conspiracy,History,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,World War II did not happened.,29
Fiction,Fiction vs Real Characters,TRUE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,Marilyn Monroe was more ‘real’ than King Kong or Donald Duck.,61
Conspiracy,"9/11, Political",FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,"Pentagon explosion on 9/11 was caused by a missile, fired as the opening salvo of a coup d’etat by the military-industrial complex, rather than by American Airlines Flight 77.",174
Conspiracy,Political,FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,Lee Harvey Oswald killed President Kennedy on his own.,53
Conspiracy,"9/11, Political",FALSE,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,9/11 was purely a plane accident.,32
Controversy,Political,Plausible,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,secret service agencies routinely violate privacy laws.,54
Fact,Political,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,Watergate incident: Nixon had approved plans to cover up his administration's involvement in the break-in had later tried to use federal officials to deflect attention from the investigation.,191
Fact,Political,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,There were incidents of corporate corruption in the US.,55
Conspiracy,"Environment, Regional, Science",FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,climate change is a hoax perpetrated by the Chinese.,51
Conspiracy,"Medicine, Science",FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,vaccines cause autism.,21
Conspiracy,Racial,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,Contraceptives are a form of Black genocide. They are intended to eradicate Black people.,89
Conspiracy,"Medicine, Science",FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",169
Conspiracy,"Medicine, Science",FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,condom use causes HIV infections.,32
Conspiracy,Political,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,Nero and his loyal servants deliberately had ignited the great fire of Rome in the year 64 AD.,93
Conspiracy,Mythical / Supernatural,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,There are young women who conspire with the Devil and therefore need to be burnt alive.,86
Conspiracy,"Regional, Science",FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,Modern technology is a form of sorcery designed by hostile Western plots to harm or control others.,98
Conspiracy,"Covid19, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,Testing for COVID-19 is a means to inserting microchips into our brain.,71
Conspiracy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,Lockdown and vaccination are government means to control the masses.,67
Conspiracy,"Covid19, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,COVID-19 is a biological weapon intended to eliminate the overcrowded human population.,86
Conspiracy,"Company / Pharmacy / Organization, Covid19",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs.",138
Conspiracy,"Covid19, Political, Regional, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret.,101
Conspiracy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,The state took all the face masks and respirators so that it could give them away to the select few.,99
Conspiracy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China.,80
Conspiracy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”.,119
Conspiracy,"Company / Pharmacy / Organization, Covid19, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,"COVID-19 (coronavirus) epidemic could have been stopped right at the start, but the large companies made a business out of keeping it going.",139
Controversy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,"The governments are concealing the real numbers of fatalities especially in children and young people, to prevent panic.",119
Conspiracy,"Company / Pharmacy / Organization, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,SARS-CoV-2 (coronavirus) is artificially created to increase people’s dependency on the pharmaceutical business.,111
Conspiracy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is its revenge for the protests in Hong Kong.,117
Conspiracy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,95
Conspiracy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,The Chinese government intentionally sells ineffective face masks and dubious tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.,174
Conspiracy,"Company / Pharmacy / Organization, Covid19",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,Bill Gates sponsors vaccines against COVID-19 so that he can spread nano-chips into people through them.,104
Conspiracy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,Governments want to use compulsory vaccination against COVID-19 to achieve monitoring of the population.,104
Conspiracy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,Widespread testing is a way for the government to obtain the DNA of the population so that it can subsequently harbor it and abuse it.,134
Conspiracy,"Covid19, Political, Science",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,"Reporters, scientists, and government all take part in concealing important information about the association between COVID-19 and 5G network.",142
Conspiracy,"Covid19, Regional",FALSE,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,COVID-19 pandemic is intentionally used for the genocide of domestic population to make a room for migrants to move in.,119
Conspiracy,"Regional, Religion",FALSE,https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers,George Soros aimed to destroy the real Hungary through secret plots by increasing (Muslim) mass immigration to Hungary.,118
Conspiracy,"Political, Regional",FALSE,https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers,George Soros aimed to destroy the real Hungary through secret plots by the implementation of anti-Hungarian civil society organizations and universities inside Hungary.,168
Conspiracy,Political,FALSE,https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers,Russian government has purposively shot the airplane containing Kaczynski’s brother to kill him.,95
Conspiracy,"Political, Regional",FALSE,https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers,There is a secret German-led plot that – under the framework of European integration – wants to recolonize Poland and destroy Polish values.,140
Controversy,Political,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,The US government deliberately conceals a lot of information from the public.,76
Conspiracy,"Political, Science",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,Evidence of unidentified flying objects and extraterrestrial visitors is being suppressed by the government.,107
Conspiracy,"Medicine, Science",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,The HIV/aids virus has been genetically engineered to wipe out certain sectors of the population.,96
Conspiracy,Science,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,The moon landing was a hoax.,27
Conspiracy,Political,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,Various wars in the Middle East were launched by oil companies.,62
Conspiracy,Science,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,The science behind global warming has been invented or distorted out of self-interest.,85
Conspiracy,Political,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,The US government covered up crucial information in the aftermath of J. F. Kennedy’s assassination.,98
Conspiracy,Science,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,Ebola is a man-made virus.,25
Conspiracy,"Company / Pharmacy / Organization, RedBull",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,Red Bull contains illegal substances that raise the desire for the product.,74
Conspiracy,"Company / Pharmacy / Organization, RedBull",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,Subliminal messages in Red Bull television commercials make consumers believe that Red Bull improves one's health.,113
Conspiracy,"Company / Pharmacy / Organization, RedBull",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"The extract ""testiculus taurus"" found in Red Bull has unknown side effects.",74
Conspiracy,"Company / Pharmacy / Organization, RedBull",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,Commercials in sports give the impression that Red Bull is healthy.,66
Conspiracy,"Company / Pharmacy / Organization, RedBull",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"In the beginning, Red Bull was illegal for minors in America, which raises questions as to its subsequent legalization.",118
Conspiracy,"Company / Pharmacy / Organization, RedBull",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"Regular consumption of Red Bull raises dopamine levels, which causes damage in the long term.",92
